Garut,,,,,,,,,,,,
dmu,Land area (m2),Land lease value (IDR),Labor cost (IDR),Seed purchase value (IDR),Fertilizer purchase value (IDR),Pesticide purchase value (IDR),Equipment rent value (IDR),Production value (IDR),,,,
22,1700,9860000,2000000,391000,2550000,221000,3900000,23850000,,,,
23,20000,50000000,15000000,4600000,26000000,2600000,2200000,267300000,,,,
24,15000,39000000,12000000,3450000,19500000,1950000,1390000,84150000,,,,
25,7250,34800000,8500000,1667500,9425000,942500,915000,41850000,,,,
26,10000,35000000,10000000,2300000,13000000,1300000,1190000,133650000,,,,
27,1600,3040000,700000,560000,2080000,208000,670000,22950000,,,,
28,5000,8750000,6500000,750000,6500000,500000,690000,34200000,,,,
29,2500,4375000,550000,500000,3250000,350000,690000,33300000,,,,
30,10000,18000000,9000000,2300000,13000000,1300000,1190000,59400000,,,,
31,1000,1800000,500000,100277.1515,1300000,500000,440000,13050000,,,,
32,9000,17100000,12000000,2070000,11700000,1170000,1090000,118800000,,,,
33,2700,4725000,700000,405000,3510000,297000,595000,26700000,,,,
34,4500,7875000,1200000,450000,5850000,585000,640000,39825000,,,,
35,1300,2340000,690000,520000,1690000,325000,450000,13050000,,,,
36,8000,15200000,8500000,1840000,10400000,1040000,990000,71100000,,,,
37,1800,3150000,1350000,630000,2340000,360000,730000,17050000,,,,
38,1500,2625000,690000,450000,1950000,240000,490000,13050000,,,,
39,1800,3240000,500000,630000,2340000,234000,730000,17050000,,,,
40,5000,9500000,6600000,500000,6500000,500000,690000,51300000,,,,
41,1100,1925000,500000,330000,1430000,330000,520000,10400000,,,,
42,1800,3150000,1350000,630000,2340000,234000,730000,17050000,,,,
43,7250,13050000,1965000,725000,9425000,942500,840000,69750000,,,,
44,3000,48000000,700000,450000,3900000,480000,790000,25650000,,,,
45,2000,3800000,1200000,460000,2600000,260000,790000,25650000,,,,
46,4500,7875000,650000,450000,5850000,585000,640000,39825000,,,,
47,5000,8750000,5000000,1150000,6500000,650000,440000,48500000,,,,
48,2000,3600000,500000,200000,2600000,260000,590000,25650000,,,,
49,10000,19000000,9250000,2300000,13000000,1300000,990000,83200000,,,,
50,8000,14000000,6000000,1840000,10400000,1040000,990000,50050000,,,,
51,7250,12687500,1965000,725000,9425000,942500,840000,69750000,,,,
52,5000,9000000,800000,500000,6500000,700000,690000,29700000,,,,
53,1850,3515000,500000,277500,2405000,240500,377500,5400000,,,,
54,1600,2800000,500000,240000,2080000,200000,370000,14080000,,,,
55,1850,3237500,500000,277500,2405000,185000,327500,18300000,,,,
56,2300,4140000,500000,345000,2990000,300000,510000,57500000,,,,
57,1700,3230000,500000,255000,2210000,170000,339000,11300000,,,,
58,5000,8750000,7000000,1150000,6500000,650000,540000,43500000,,,,
59,8000,14000000,6000000,1840000,10400000,1040000,990000,50050000,,,,
60,8000,14400000,6000000,1840000,10400000,1040000,990000,51700000,,,,
61,2000,3800000,500000,200000,2600000,260000,590000,67900000,,,,
62,10000,17500000,9250000,2300000,13000000,1300000,990000,83200000,,,,
63,1100,1925000,500000,330000,1430000,330000,520000,9900000,,,,
64,3000,5400000,700000,690000,3900000,480000,790000,24150000,,,,
65,5000,9500000,1000000,1150000,6500000,650000,690000,31200000,,,,
66,5000,8750000,5500000,1150000,6500000,650000,690000,44550000,,,,
67,3000,5250000,600000,690000,3900000,390000,350000,24300000,,,,
